,num_peaks,signal_entropy,naming_orig,"value__agg_autocorrelation__f_agg_""var""__maxlag_40",value__approximate_entropy__m_2__r_0.1,value__ar_coefficient__coeff_7__k_10,value__autocorrelation__lag_7,value__benford_correlation,value__count_below_mean,"value__fft_aggregated__aggtype_""variance""","value__fft_coefficient__attr_""abs""__coeff_61","value__fft_coefficient__attr_""abs""__coeff_96","value__fft_coefficient__attr_""angle""__coeff_54","value__fft_coefficient__attr_""angle""__coeff_86","value__fft_coefficient__attr_""angle""__coeff_98","value__fft_coefficient__attr_""imag""__coeff_7","value__fft_coefficient__attr_""real""__coeff_96",value__fourier_entropy__bins_10,value__fourier_entropy__bins_100,value__length,value__number_cwt_peaks__n_1,value__number_cwt_peaks__n_5,value__number_peaks__n_10,value__number_peaks__n_3,value__number_peaks__n_5,value__partial_autocorrelation__lag_7,value__range_count__max_1000000000000.0__min_0
461,199,6.0225604578617205,mipt_alpha_414,0.023954862651476748,0.9303952057862119,0.245300440801539,0.33439312910567714,0.4161054750594469,364.0,11463.140435343357,24999855.47369293,473148179.0149217,-87.09012609360587,-129.18967899684338,112.55552498858218,124034814.60489456,392625228.23058015,0.5035491029942578,2.2237839147916585,671.0,56.0,67.0,32.0,93.0,68.0,0.24654125105997685,671.0
462,104,5.26870395388914,mipt_alpha_415,0.0067824154336559635,0.6805257385308732,0.14367915580205293,0.2584927430833362,0.9500270840314451,184.0,2871.0713705341636,17473374.402351998,28570896.758026708,-83.87425195435333,-106.46733024217873,102.25224692590254,11609483.537541423,17781712.611089684,0.9188867383062442,2.914091485059528,336.0,39.0,37.0,15.0,48.0,31.0,0.11754150639240495,336.0
463,208,6.0058374597460045,mipt_alpha_416,0.013713372625299352,0.9317019756337199,0.16642099957524464,0.1400708074634491,0.9242078679528033,360.0,11384.254361293479,18635599.966570795,96081072.76411432,-172.50102793606524,-58.33251344667861,91.73764515268587,24938179.283745952,72685878.63435781,0.7276560726779872,2.7762140580939554,671.0,58.0,68.0,35.0,95.0,54.0,0.14089213992004915,671.0
464,199,6.05422035394089,mipt_alpha_417,0.038521515393743225,1.019564281728468,0.4046009285608944,0.5277466664134078,0.8453644786229644,358.0,10895.592843141696,29354577.638261206,432395007.5123082,-27.416167641675454,-95.2566981129243,11.471066992620289,98844115.69301084,356266847.16971284,0.2607041092304532,2.0242930484869435,671.0,45.0,52.0,29.0,92.0,71.0,0.4045587055869408,671.0
465,195,6.034918878492067,mipt_alpha_418,0.024949020898629708,0.9505955131764949,0.3213036656885276,0.3619945608215389,0.5088842669366325,356.0,11151.732444667266,30765967.134335544,361721230.56714463,134.86504205888943,-14.560238428137888,64.85822476345955,47488911.69654663,285798490.34457254,0.476539412440744,2.2979872776316337,671.0,61.0,73.0,30.0,91.0,60.0,0.3162639519815672,671.0
466,190,6.086658103539502,mipt_alpha_419,0.03256789153427797,1.0621600669750206,0.31115628392607814,0.42221167180356955,0.8371008782241355,344.0,11005.570324627839,43362895.19985684,287461139.76153874,95.07909118249361,156.78521736749235,-11.504201260848276,46204108.31756198,235852471.62614986,0.43481563518324756,2.2908521486809046,671.0,46.0,62.0,29.0,95.0,63.0,0.29994990425443185,671.0
467,200,6.009318938243249,mipt_alpha_42,0.02124346609445519,0.9828345938364311,0.41815534025940815,0.49873739058738775,0.8950404990537303,374.0,11826.865447405842,21618665.742266823,309476495.2783698,-30.100616121954555,-136.3617773731114,63.48429196442872,88191419.7724183,245404952.33264887,0.2909255491410393,2.13608279401005,671.0,61.0,60.0,33.0,96.0,65.0,0.40617465014259735,671.0
468,88,5.401546394632845,mipt_alpha_420,0.0059952160920374534,1.0275427872101996,0.0439908619836883,0.07557344516736098,0.9810345965419169,179.0,1963.8603176048082,7049271.426001532,15530773.113594994,37.822888794980635,-149.25957344844065,2.573153672246739,13916128.847462708,-8407036.369563702,1.5105446412821886,3.471858269399138,284.0,26.0,28.0,14.0,43.0,24.0,0.05083069342114057,284.0
469,201,6.012501689950437,mipt_alpha_421,0.040385304679654774,0.9365737652032449,0.3777132022364537,0.46445773945651586,0.9141645791018118,352.0,11050.408112193414,24245112.39754835,243842896.96584392,-64.50210116541068,51.57837452450047,-0.24449378722318854,9435411.726596339,209535105.47825834,0.34185290590768097,2.1395560159478975,671.0,50.0,52.0,29.0,97.0,61.0,0.3787055497990596,671.0
470,87,4.972823222416996,mipt_alpha_422,0.015213658549649355,0.4799756171910614,0.2525062123130661,0.28724767146029956,0.8283777356738246,149.0,1963.618594694352,2212928.5751904217,7811544.389559731,27.66730959533189,-139.5012307710326,-80.78545490008285,3887610.0997059504,-6687138.02336035,0.659217297400341,2.7412165057505193,278.0,30.0,25.0,11.0,36.0,25.0,0.2568165528739432,278.0
